Rank,Movie Title,Year,IMDb Rating
1,The Shawshank Redemption,1994,9.3
2,The Godfather,1972,9.2
3,The Dark Knight,2008,9.1
4,The Godfather Part II,1974,9.0
5,12 Angry Men,1957,9.0
6,The Lord of the Rings: The Return of the King,2003,9.0
7,Schindler's List,1993,9.0
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
9,Pulp Fiction,1994,8.8
10,"The Good, the Bad and the Ugly",1966,8.8
11,The Lord of the Rings: The Two Towers,2002,8.8
12,Forrest Gump,1994,8.8
13,Fight Club,1999,8.8
14,Inception,2010,8.8
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
16,The Matrix,1999,8.7
17,Goodfellas,1990,8.7
18,Interstellar,2014,8.7
19,One Flew Over the Cuckoo's Nest,1975,8.7
20,Se7en,1995,8.6
21,It's a Wonderful Life,1946,8.6
22,The Silence of the Lambs,1991,8.6
23,Seven Samurai,1954,8.6
24,Saving Private Ryan,1998,8.6
25,The Green Mile,1999,8.6
26,City of God,2002,8.6
27,Life Is Beautiful,1997,8.6
28,Terminator 2: Judgment Day,1991,8.6
29,Star Wars: Episode IV - A New Hope,1977,8.6
30,Back to the Future,1985,8.5
31,Spirited Away,2001,8.6
32,The Pianist,2002,8.5
33,Gladiator,2000,8.5
34,Parasite,2019,8.5
35,Psycho,1960,8.5
36,Grave of the Fireflies,1988,8.5
37,The Lion King,1994,8.5
38,Harakiri,1962,8.6
39,The Departed,2006,8.5
40,Whiplash,2014,8.5
41,The Prestige,2006,8.5
42,American History X,1998,8.5
43,Léon: The Professional,1994,8.5
44,Spider-Man: Across the Spider-Verse,2023,8.5
45,Cinema Paradiso,1988,8.5
46,Casablanca,1942,8.5
47,The Intouchables,2011,8.5
48,The Usual Suspects,1995,8.5
49,Alien,1979,8.5
50,Modern Times,1936,8.5
51,Rear Window,1954,8.5
52,Django Unchained,2012,8.5
53,Once Upon a Time in the West,1968,8.5
54,City Lights,1931,8.5
